,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
ENSMUSG00000031575,2973.88789013916,-0.823749142693115,0.149336761312568,-5.51605067267379,3.46702331771149e-08,4.19810114801317e-06,Ash2l
ENSMUSG00000021379,117.710037047529,5.06263585852249,0.919021350588329,5.50872496627151,3.61442110263785e-08,4.30872617956316e-06,Id4
ENSMUSG00000063873,1153.08582737145,2.63093150677532,0.477565618754526,5.50904714128438,3.60781286909115e-08,4.30872617956316e-06,Slc24a3
ENSMUSG00000031485,1812.99603565443,-0.748511994772208,0.136445376967539,-5.48579960279845,4.11603301344352e-08,4.83178287639195e-06,Plpbp
ENSMUSG00000031751,4464.45720912437,-0.809687401654588,0.147574305132289,-5.486642142267,4.09645816009706e-08,4.83178287639195e-06,Amfr
ENSMUSG00000001891,5725.92324542022,2.0391084831424,0.3722327941641,5.47804630626784,4.30047604213927e-08,5.01005458909225e-06,Ugp2
ENSMUSG00000032788,749.597947263045,1.40911524309,0.25741471532954,5.47410524408466,4.39727686353603e-08,5.08431004567347e-06,Pdxk
ENSMUSG00000031916,1121.89026431982,-0.71145810834185,0.130112384990186,-5.46802757013109,4.55071111629224e-08,5.22245041390613e-06,Cog8
ENSMUSG00000031754,714.558056615566,-0.758329824500783,0.138803281993471,-5.46334217469334,4.67252697589715e-08,5.32252739521084e-06,Nudt21
ENSMUSG00000031659,3045.95205429278,-1.48346796672287,0.271696979946467,-5.46000904027404,4.76110339255399e-08,5.38354764490406e-06,Adcy7
ENSMUSG00000001497,77.428127060981,-1.65294430705979,0.30415779859659,-5.43449589221983,5.49515629989068e-08,6.16653474232899e-06,Pax9
ENSMUSG00000071757,236.145571604148,-1.56659475360824,0.288334885114867,-5.43324736090861,5.53376118117701e-08,6.16653474232899e-06,Zhx2
ENSMUSG00000031577,681.676926288754,-0.797370252003784,0.146800866105771,-5.43164541978434,5.58367868126788e-08,6.17739645759262e-06,Tti2
ENSMUSG00000028860,137.866979017863,2.36613517086867,0.435893812920156,5.42823756780893,5.6913252162172e-08,6.25151422678486e-06,Sytl1
ENSMUSG00000034205,4047.37754034237,-1.98602803107994,0.367070441580055,-5.41048203862747,6.28553275183035e-08,6.8552427416771e-06,Loxl2
ENSMUSG00000027550,587.254818406633,1.35032445970701,0.250210007582339,5.39676439305748,6.7853395146731e-08,7.34823598990444e-06,Lrrcc1
ENSMUSG00000059625,9.46336014906851,-6.85008281764302,1.27147268437658,-5.38751866384113,7.14370593900306e-08,7.6822314636356e-06,Sohlh1
ENSMUSG00000027931,188.384104066099,-2.65601132806695,0.493305161069707,-5.38411421098357,7.28022685131869e-08,7.77467559163742e-06,Npr1
ENSMUSG00000050914,274.310760583334,-2.59972637757243,0.483586402998969,-5.37592943360314,7.61886292397953e-08,8.08019820999705e-06,Ankrd37
ENSMUSG00000022090,1884.31454516653,-1.01398735906859,0.189361268661213,-5.35477696277329,8.56620154869801e-08,9.02267448053959e-06,Pdlim2
ENSMUSG00000073565,26.9066757298787,7.46897385142694,1.39565674471278,5.35158367537141,8.71878051858728e-08,9.12091202822008e-06,Prr16
ENSMUSG00000020473,11652.4477271312,0.837145809016414,0.156758001839947,5.34037050224178,9.27568159118867e-08,9.61376242164303e-06,Aebp1
ENSMUSG00000015846,1577.57196000993,1.43708259983923,0.269136503187,5.3396049321512,9.31493432712194e-08,9.61376242164303e-06,Rxra
ENSMUSG00000097924,45.3904112856146,1.7807528296454,0.334525349410616,5.32322238892455,1.01944985348555e-07,1.04513998979339e-05,A730020E08Rik
ENSMUSG00000078435,71.8650524433269,1.39584093414908,0.263201942268278,5.30330787880859,1.13722881375566e-07,1.1581658740354e-05,AU041133
ENSMUSG00000038122,387.967479493167,0.842181265698728,0.158919628201712,5.29941628500269,1.16173486881843e-07,1.17533939557169e-05,Tbc1d32
ENSMUSG00000039462,217.839022363507,6.88911795875562,1.30062170364414,5.29678840469398,1.17857130594029e-07,1.18457970867646e-05,Col10a1
ENSMUSG00000019428,9347.86421826135,-0.863555471096688,0.164023053861351,-5.26484204974414,1.40309936180895e-07,1.40109493414922e-05,Fkbp8
ENSMUSG00000030323,677.10745868172,1.37202633480499,0.260810823009954,5.26061886148268,1.43571358762936e-07,1.42441313229447e-05,Ift122
ENSMUSG00000047747,52.7752591948763,5.6273353564226,1.07931015261831,5.21382601912083,1.84984974440813e-07,1.82352495958386e-05,Rnf150
ENSMUSG00000022382,50.8695424417559,-4.30668503385087,0.827608335134152,-5.2037719426216,1.95283636887186e-07,1.91278456563767e-05,Wnt7b
ENSMUSG00000026447,61.5001760326484,-2.6979906378283,0.518627244164262,-5.20217683931349,1.96967666022301e-07,1.91706884056389e-05,Pik3c2b
ENSMUSG00000033487,1030.75554638516,-1.37392839343481,0.264297892004754,-5.19840844364395,2.01002084595452e-07,1.94403148233262e-05,Fndc3a
ENSMUSG00000071073,112.732237673504,1.34546487230551,0.259703913450873,5.18076471943511,2.20978078407612e-07,2.12387555609516e-05,Lrrc73
ENSMUSG00000031684,483.490485077271,-0.839423943777161,0.162128280455688,-5.1775294317427,2.24843482033416e-07,2.14760438926079e-05,Slc10a7
ENSMUSG00000022305,572.110853700707,0.64082244712707,0.123916399282584,5.17140952155746,2.3233476195378e-07,2.20545924032421e-05,Lrp12
ENSMUSG00000026308,584.452729370886,-3.51428895227077,0.680038714110266,-5.16777777404735,2.36893737973265e-07,2.2349398175171e-05,Klhl30
ENSMUSG00000044217,786.129708710152,-2.8720953628576,0.556243234472819,-5.16338030714142,2.42529684796431e-07,2.27415944682897e-05,Aqp5
ENSMUSG00000029816,579.667847956185,3.57768183160321,0.693717867532612,5.15725772543262,2.50592775263058e-07,2.3215928728764e-05,Gpnmb
ENSMUSG00000004565,2009.0264546322,-0.812036392214907,0.157455412150646,-5.15724662063688,2.50607632265237e-07,2.3215928728764e-05,Pnpla6
ENSMUSG00000022231,55.773073857621,-5.79421625131266,1.12451291000287,-5.15264538074343,2.56837365041592e-07,2.36505688599377e-05,Sema5a
ENSMUSG00000049516,833.632201847643,-0.996437830789156,0.193858400041716,-5.14002916858251,2.74695822589941e-07,2.4874593555427e-05,Spty2d1
ENSMUSG00000015994,2317.2772263513,-0.72855465521725,0.141695081130789,-5.14170745662492,2.722528075775e-07,2.4874593555427e-05,Fnta
